# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.49268 2.10533 0.612651
52000 -1.40262 2.01635 0.613732
53000 -1.39755 2.01186 0.614313
54000 -1.45417 2.06801 0.613832
55000 -1.41395 2.02731 0.613364
56000 -1.41256 2.02588 0.613322
57000 -1.47094 2.08374 0.612794
58000 -1.4723 2.08442 0.612119
59000 -1.41882 2.03202 0.613199
60000 -1.45698 2.07088 0.613894
61000 -1.45184 2.06612 0.614273
62000 -1.40337 2.01806 0.614687
63000 -1.40089 2.01483 0.613943
64000 -1.44845 2.06184 0.61339
65000 -1.42664 2.04001 0.613368
66000 -1.42642 2.04009 0.613669
67000 -1.43193 2.04471 0.612781
68000 -1.44791 2.05998 0.61207
69000 -1.51369 2.12673 0.613036
70000 -1.4567 2.0702 0.613494
71000 -1.40406 2.01735 0.613286
72000 -1.38327 1.99669 0.613424
73000 -1.4444 2.05752 0.613114
74000 -1.48119 2.09404 0.612853
75000 -1.40329 2.01675 0.613451
76000 -1.39008 2.00437 0.614296
77000 -1.33975 1.95418 0.614426
78000 -1.33894 1.95352 0.61458
79000 -1.39085 2.00522 0.614373
80000 -1.3803 1.99473 0.614433
81000 -1.49548 2.10853 0.613042
82000 -1.48234 2.09492 0.612585
83000 -1.48488 2.09709 0.612213
84000 -1.57391 2.18504 0.611128
85000 -1.48549 2.09719 0.611693
86000 -1.51614 2.1284 0.61226
87000 -1.50907 2.12178 0.61271
88000 -1.46533 2.07914 0.613808
89000 -1.55097 2.16399 0.613022
90000 -1.54342 2.15587 0.612447
91000 -1.51579 2.12906 0.613262
92000 -1.45635 2.06863 0.612277
93000 -1.49441 2.10638 0.611973
94000 -1.44078 2.05347 0.61269
95000 -1.49052 2.10298 0.61246
96000 -1.45228 2.06464 0.612362
97000 -1.45138 2.06386 0.61249
98000 -1.44262 2.05596 0.61334
99000 -1.41908 2.03292 0.613835
100000 -1.40034 2.01415 0.613809
101000 -1.35365 1.96825 0.614602
102000 -1.39883 2.01287 0.614041
103000 -1.41284 2.02655 0.613717
104000 -1.4177 2.0315 0.613801
105000 -1.41955 2.03265 0.613097
106000 -1.42236 2.03565 0.613286
107000 -1.41025 2.02416 0.613905
108000 -1.39291 2.00716 0.614252
109000 -1.43462 2.0474 0.612781
110000 -1.43598 2.04944 0.613461
111000 -1.44099 2.05499 0.614003
112000 -1.47662 2.09006 0.61344
113000 -1.53154 2.14415 0.612612
114000 -1.49164 2.10414 0.612497
115000 -1.48606 2.09825 0.612186
116000 -1.51602 2.12802 0.612004
117000 -1.56828 2.1803 0.612021
118000 -1.53868 2.15047 0.611787
119000 -1.54354 2.15556 0.612026
120000 -1.50739 2.12019 0.612806
121000 -1.47541 2.08792 0.612509
122000 -1.48714 2.1001 0.612958
123000 -1.42232 2.03522 0.612901
124000 -1.44265 2.05521 0.612557
125000 -1.44647 2.05909 0.612626
126000 -1.40888 2.02236 0.613478
127000 -1.43658 2.0502 0.613622
128000 -1.45814 2.07107 0.612933
129000 -1.48467 2.09697 0.612301
130000 -1.5327 2.14571 0.613011
131000 -1.42415 2.03814 0.613988
132000 -1.40503 2.01909 0.614063
133000 -1.48773 2.10098 0.613247
134000 -1.44061 2.05376 0.613146
135000 -1.51933 2.1319 0.612567
136000 -1.47556 2.08803 0.612467
137000 -1.46253 2.07562 0.613092
138000 -1.45266 2.06597 0.613315
139000 -1.4772 2.0896 0.612399
140000 -1.45492 2.06705 0.612124
141000 -1.42186 2.03465 0.61279
142000 -1.45717 2.07028 0.613113
143000 -1.45538 2.06854 0.613165
144000 -1.40552 2.01927 0.613753
145000 -1.42703 2.04059 0.61356
146000 -1.47659 2.08988 0.613288
147000 -1.46396 2.07675 0.612789
148000 -1.42532 2.03876 0.613442
149000 -1.44136 2.05504 0.613675
150000 -1.40469 2.01817 0.61348
151000 -1.4786 2.09202 0.613418
152000 -1.43381 2.04711 0.613302
153000 -1.42738 2.04101 0.613629
154000 -1.45075 2.06394 0.61319
155000 -1.46667 2.07862 0.611949
156000 -1.53503 2.14584 0.610807
157000 -1.51276 2.12469 0.611921
158000 -1.53171 2.14305 0.611333
159000 -1.48152 2.09336 0.611843
160000 -1.55229 2.16468 0.612397
161000 -1.55665 2.16921 0.612558
162000 -1.48864 2.10137 0.612724
163000 -1.49043 2.10313 0.612698
164000 -1.43667 2.05066 0.613993
165000 -1.42908 2.04249 0.613414
166000 -1.48028 2.09299 0.612714
167000 -1.45669 2.06948 0.61279
168000 -1.45227 2.0652 0.61293
169000 -1.43482 2.04731 0.612485
170000 -1.44684 2.05921 0.612364
171000 -1.49894 2.1111 0.61216
172000 -1.44723 2.06069 0.613464
173000 -1.49247 2.10565 0.613177
174000 -1.53364 2.14631 0.612669
175000 -1.57613 2.18866 0.61253
176000 -1.51108 2.12382 0.612738
177000 -1.50507 2.11787 0.612793
178000 -1.42104 2.03436 0.61332
179000 -1.46071 2.07349 0.612776
180000 -1.45338 2.06685 0.613472
181000 -1.42402 2.03716 0.613139
182000 -1.41951 2.03234 0.612837
183000 -1.39051 2.00436 0.613847
184000 -1.461 2.075 0.614001
185000 -1.46241 2.07597 0.613556
186000 -1.48897 2.10146 0.612491
187000 -1.44189 2.05453 0.612643
188000 -1.41335 2.02634 0.612996
189000 -1.47768 2.09058 0.612898
190000 -1.47484 2.08753 0.612694
191000 -1.48125 2.09367 0.612421
192000 -1.44589 2.05956 0.613669
193000 -1.40639 2.02059 0.614194
194000 -1.37784 1.99162 0.613774
195000 -1.38736 2.00118 0.613822
196000 -1.47519 2.08823 0.613044
197000 -1.41584 2.02864 0.612802
198000 -1.44053 2.05398 0.613455
199000 -1.41433 2.02802 0.613685
200000 -1.38735 2.00182 0.614466
