# Time-averaged data for fix 2
# TimeStep v_kinEnergy v_temperature
51000 2.93605 1.97315
52000 3.08898 2.07593
53000 3.3276 2.23629
54000 3.05571 2.05357
55000 2.72568 1.83178
56000 2.87846 1.93445
57000 3.16714 2.12846
58000 3.09329 2.07883
59000 2.91735 1.96059
60000 2.95208 1.98392
61000 2.98853 2.00842
62000 3.15976 2.12349
63000 3.21505 2.16065
64000 2.84112 1.90935
65000 2.72793 1.83329
66000 3.02145 2.03055
67000 3.19678 2.14837
68000 3.06024 2.05661
69000 2.9455 1.9795
70000 2.90805 1.95433
71000 3.13582 2.10741
72000 3.505 2.35551
73000 3.04238 2.04461
74000 2.88162 1.93657
75000 2.88372 1.93799
76000 3.14399 2.1129
77000 3.2743 2.20047
78000 2.865 1.9254
79000 2.71839 1.82687
80000 3.01513 2.0263
81000 3.15694 2.1216
82000 2.94623 1.98
83000 2.51348 1.68916
84000 2.65187 1.78217
85000 2.90776 1.95414
86000 3.02628 2.03379
87000 3.0973 2.08152
88000 2.94211 1.97723
89000 2.6476 1.7793
90000 2.83518 1.90536
91000 3.25401 2.18683
92000 3.02899 2.03561
93000 2.81593 1.89243
94000 2.98226 2.00421
95000 3.38884 2.27745
96000 3.36851 2.26378
97000 2.8133 1.89066
98000 2.89898 1.94824
99000 3.13116 2.10428
100000 3.08902 2.07595
101000 2.72758 1.83305
102000 2.71057 1.82162
103000 3.12727 2.10166
104000 3.1995 2.1502
105000 2.962 1.99059
106000 2.82135 1.89607
107000 2.99651 2.01378
108000 3.40465 2.28807
109000 3.17756 2.13545
110000 2.8506 1.91572
111000 2.95102 1.98321
112000 3.07254 2.06488
113000 3.0855 2.07359
114000 2.92323 1.96453
115000 2.61504 1.75742
116000 2.87817 1.93426
117000 3.14014 2.11031
118000 3.00077 2.01665
119000 2.88024 1.93564
120000 2.82104 1.89586
121000 3.07399 2.06585
122000 3.3105 2.2248
123000 2.97689 2.0006
124000 2.78016 1.86839
125000 2.93259 1.97083
126000 3.05027 2.04991
127000 3.0114 2.02379
128000 2.94132 1.9767
129000 2.93826 1.97464
130000 2.98962 2.00915
131000 2.99457 2.01248
132000 2.94427 1.97868
133000 2.91039 1.95591
134000 3.07413 2.06595
135000 3.10881 2.08925
136000 2.78969 1.87479
137000 2.72444 1.83094
138000 3.15828 2.1225
139000 3.24071 2.1779
140000 3.04011 2.04308
141000 2.8464 1.9129
142000 2.95144 1.98349
143000 3.14098 2.11087
144000 3.28975 2.21085
145000 3.02347 2.0319
146000 2.71386 1.82383
147000 2.89997 1.94891
148000 3.22123 2.1648
149000 3.08252 2.07159
150000 2.73418 1.83749
151000 2.78449 1.8713
152000 3.14498 2.11356
153000 3.0943 2.0795
154000 2.86432 1.92495
155000 2.77512 1.865
156000 3.07246 2.06482
157000 3.22157 2.16503
158000 2.89724 1.94707
159000 2.73394 1.83732
160000 2.84921 1.91479
161000 2.9976 2.01452
162000 3.05282 2.05163
163000 2.82531 1.89873
164000 2.78663 1.87274
165000 3.12884 2.10271
166000 3.25434 2.18705
167000 2.88899 1.94153
168000 2.78331 1.87051
169000 2.91402 1.95835
170000 3.01838 2.02848
171000 3.01658 2.02727
172000 2.9705 1.99631
173000 2.76037 1.85509
174000 2.4885 1.67238
175000 2.86685 1.92664
176000 3.05439 2.05268
177000 3.02416 2.03236
178000 2.85987 1.92195
179000 2.7745 1.86459
180000 2.94752 1.98086
181000 3.24468 2.18056
182000 3.12487 2.10004
183000 2.75311 1.85021
184000 2.82509 1.89858
185000 2.9981 2.01485
186000 3.00778 2.02136
187000 2.94937 1.9821
188000 2.93824 1.97462
189000 2.89284 1.94412
190000 2.96956 1.99567
191000 3.11246 2.09171
192000 3.16619 2.12781
193000 2.78272 1.87011
194000 2.67263 1.79612
195000 3.03829 2.04186
196000 3.13423 2.10634
197000 3.01825 2.02839
198000 2.82978 1.90173
199000 2.9184 1.96129
200000 3.39437 2.28117
201000 3.23729 2.1756
202000 2.88818 1.94098
203000 2.89067 1.94265
204000 3.0767 2.06768
205000 3.20025 2.15071
206000 2.80035 1.88195
207000 2.68272 1.8029
208000 3.01812 2.0283
209000 3.18695 2.14177
210000 3.00119 2.01693
211000 2.89706 1.94695
212000 2.96534 1.99284
213000 3.01587 2.02679
214000 3.03143 2.03725
215000 2.96411 1.99201
216000 2.94905 1.98189
217000 2.96716 1.99406
218000 3.04863 2.04881
219000 3.0391 2.04241
220000 2.88608 1.93957
221000 2.65893 1.78692
222000 2.96502 1.99262
223000 3.27747 2.2026
224000 3.02704 2.0343
225000 2.84511 1.91204
226000 2.9427 1.97762
227000 3.25965 2.19063
228000 3.53614 2.37644
229000 3.10517 2.08681
230000 2.846 1.91264
231000 2.86265 1.92382
232000 3.16483 2.1269
233000 3.21777 2.16248
234000 2.69058 1.80819
235000 2.76413 1.85761
236000 2.98392 2.00532
237000 3.13493 2.10681
238000 2.96698 1.99394
239000 2.55722 1.71856
240000 2.75339 1.8504
241000 2.99446 2.0124
242000 3.0209 2.03017
243000 2.89191 1.94349
244000 3.00011 2.0162
245000 3.06621 2.06062
246000 2.95134 1.98343
247000 2.74353 1.84377
248000 2.98984 2.0093
249000 3.25833 2.18973
250000 3.09634 2.08087
251000 2.69499 1.81115
252000 2.81068 1.8889
253000 3.04993 2.04968
254000 3.05671 2.05424
255000 2.9059 1.95289
256000 2.5625 1.72211
257000 2.77079 1.86209
258000 3.05356 2.05212
259000 3.08932 2.07616
260000 2.8351 1.90531
261000 2.78795 1.87362
262000 3.15685 2.12154
263000 3.30738 2.2227
264000 2.93623 1.97327
265000 2.89725 1.94708
266000 2.93506 1.97248
267000 3.14438 2.11316
268000 3.50228 2.35368
269000 3.20064 2.15097
270000 2.80499 1.88507
271000 2.94966 1.9823
272000 3.13019 2.10362
273000 3.14412 2.11299
274000 2.79786 1.88028
275000 2.63343 1.76978
276000 3.02159 2.03064
277000 3.10913 2.08947
278000 2.97564 1.99976
279000 2.87143 1.92973
280000 2.99002 2.00942
281000 3.17746 2.13539
282000 3.1406 2.11062
283000 2.86875 1.92792
284000 2.67304 1.7964
285000 3.02151 2.03059
286000 3.10438 2.08627
287000 3.03711 2.04107
288000 2.88929 1.94172
289000 2.75861 1.8539
290000 3.17937 2.13667
291000 3.29985 2.21764
292000 2.94595 1.97981
293000 2.84875 1.91448
294000 2.89934 1.94848
295000 3.20319 2.15268
296000 3.18372 2.13959
297000 2.75447 1.85113
298000 2.74471 1.84456
299000 3.10574 2.08719
300000 3.14829 2.11579
301000 2.8796 1.93521
302000 2.62125 1.76159
303000 2.98897 2.00871
304000 3.29348 2.21336
305000 3.00325 2.01832
306000 2.77392 1.86419
307000 2.88075 1.93599
308000 3.21925 2.16348
309000 3.20483 2.15379
310000 3.03161 2.03737
311000 2.92529 1.96592
312000 2.92473 1.96555
313000 3.06555 2.06018
314000 3.31861 2.23025
315000 3.0285 2.03529
316000 2.74301 1.84342
317000 2.89993 1.94888
318000 3.0956 2.08037
319000 3.05433 2.05264
320000 2.53062 1.70069
321000 2.58194 1.73517
322000 2.95799 1.98789
323000 3.08509 2.07332
324000 2.94074 1.9763
325000 2.75517 1.85159
326000 2.89938 1.94851
327000 3.21925 2.16347
328000 3.18313 2.1392
329000 2.78033 1.8685
330000 2.73832 1.84027
331000 2.97751 2.00101
332000 3.10868 2.08917
333000 2.94981 1.9824
334000 2.56164 1.72153
335000 2.55841 1.71936
336000 3.07639 2.06747
337000 3.09899 2.08266
338000 2.89545 1.94587
339000 2.78966 1.87477
340000 3.0948 2.07984
341000 3.33164 2.23901
342000 2.95274 1.98437
343000 2.79272 1.87683
344000 2.90825 1.95447
345000 3.12333 2.09901
346000 2.99934 2.01569
347000 2.66208 1.78903
348000 2.66076 1.78815
349000 3.06152 2.05747
350000 3.05313 2.05183
351000 2.95307 1.98459
352000 2.86513 1.92549
353000 2.81215 1.88989
354000 3.15776 2.12215
355000 3.23699 2.1754
356000 2.86089 1.92264
357000 2.75753 1.85318
358000 2.92651 1.96674
359000 3.03156 2.03734
360000 3.00706 2.02087
361000 2.77524 1.86508
362000 2.5096 1.68656
363000 2.87739 1.93373
364000 3.17043 2.13066
365000 2.97174 1.99714
366000 2.75006 1.84816
367000 2.97831 2.00156
368000 3.41976 2.29823
369000 3.10176 2.08452
370000 2.86454 1.92509
371000 2.9703 1.99617
372000 3.11225 2.09157
373000 3.19157 2.14487
374000 3.05553 2.05345
375000 2.73379 1.83722
376000 2.80974 1.88826
377000 3.14128 2.11107
378000 3.16226 2.12517
379000 2.92903 1.96843
380000 2.9283 1.96794
381000 3.03051 2.03663
