# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0.423859 0.02
46 0.9646 0.405433 0.04
47 0.9858 0.970458 0.09
48 1.007 1.11603 0.15
49 1.0282 0.892073 0.2
50 1.0494 2.05535 0.32
51 1.0706 1.97476 0.44
52 1.0918 2.53175 0.6
53 1.113 1.52264 0.7
54 1.1342 1.61288 0.81
55 1.1554 1.83682 0.94
56 1.1766 2.17998 1.1
57 1.1978 1.97203 1.25
58 1.219 2.1579 1.42
59 1.2402 1.71686 1.56
60 1.2614 1.304 1.67
61 1.2826 1.60523 1.81
62 1.3038 0.998647 1.9
63 1.325 1.82646 2.07
64 1.3462 0.832651 2.15
65 1.3674 1.71495 2.32
66 1.3886 1.66298 2.49
67 1.4098 0.854123 2.58
68 1.431 1.01323 2.69
69 1.4522 0.98386 2.8
70 1.4734 0.868865 2.9
71 1.4946 0.844392 3
72 1.5158 1.80606 3.22
73 1.537 0.958137 3.34
74 1.5582 0.854557 3.45
75 1.5794 0.756154 3.55
76 1.6006 0.809882 3.66
77 1.6218 0.860561 3.78
78 1.643 1.04812 3.93
79 1.6642 0.81727 4.05
80 1.6854 0.796839 4.17
81 1.7066 0.712401 4.28
82 1.7278 0.821395 4.41
83 1.749 1.54155 4.66
84 1.7702 1.38446 4.89
85 1.7914 0.646552 5
86 1.8126 1.03339 5.18
87 1.8338 0.560909 5.28
88 1.855 0.767426 5.42
89 1.8762 0.803766 5.57
90 1.8974 0.99548 5.76
91 1.9186 1.12733 5.98
92 1.9398 1.05269 6.19
93 1.961 1.03006 6.4
94 1.9822 1.20017 6.65
95 2.0034 1.36289 6.94
96 2.0246 0.828307 7.12
97 2.0458 0.721092 7.28
98 2.067 1.01542 7.51
99 2.0882 1.25444 7.8
100 2.1094 0.890223 8.01
50100 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
